[2026-03-19T09:29:26.595+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897770.json to Snowflake stage
[2026-03-19T09:29:26.760+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897780.json to Snowflake stage
[2026-03-19T09:29:26.966+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897790.json to Snowflake stage
[2026-03-19T09:29:27.150+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897800.json to Snowflake stage
[2026-03-19T09:29:27.361+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897810.json to Snowflake stage
[2026-03-19T09:29:27.545+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897821.json to Snowflake stage
[2026-03-19T09:29:27.742+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897831.json to Snowflake stage
[2026-03-19T09:29:27.953+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897841.json to Snowflake stage
[2026-03-19T09:29:28.145+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897852.json to Snowflake stage
[2026-03-19T09:29:28.340+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897863.json to Snowflake stage
[2026-03-19T09:29:28.558+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897884.json to Snowflake stage
[2026-03-19T09:29:28.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773897895.json to Snowflake stage
[2026-03-19T09:29:28.930+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903744.json to Snowflake stage
[2026-03-19T09:29:29.146+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903760.json to Snowflake stage
[2026-03-19T09:29:29.332+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903772.json to Snowflake stage
[2026-03-19T09:29:29.524+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903782.json to Snowflake stage
[2026-03-19T09:29:29.704+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903793.json to Snowflake stage
[2026-03-19T09:29:29.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903804.json to Snowflake stage
[2026-03-19T09:29:30.120+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903814.json to Snowflake stage
[2026-03-19T09:29:30.300+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903824.json to Snowflake stage
[2026-03-19T09:29:30.570+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903835.json to Snowflake stage
[2026-03-19T09:29:30.760+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903845.json to Snowflake stage
[2026-03-19T09:29:30.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903855.json to Snowflake stage
[2026-03-19T09:29:31.123+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903866.json to Snowflake stage
[2026-03-19T09:29:31.307+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903876.json to Snowflake stage
[2026-03-19T09:29:31.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903886.json to Snowflake stage
[2026-03-19T09:29:31.682+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903897.json to Snowflake stage
[2026-03-19T09:29:32.508+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903907.json to Snowflake stage
[2026-03-19T09:29:32.822+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903917.json to Snowflake stage
[2026-03-19T09:29:32.994+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903927.json to Snowflake stage
[2026-03-19T09:29:33.192+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903937.json to Snowflake stage
[2026-03-19T09:29:33.384+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903947.json to Snowflake stage
[2026-03-19T09:29:33.567+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903958.json to Snowflake stage
[2026-03-19T09:29:33.744+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903968.json to Snowflake stage
[2026-03-19T09:29:33.910+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903978.json to Snowflake stage
[2026-03-19T09:29:34.096+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903988.json to Snowflake stage
[2026-03-19T09:29:34.292+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773903999.json to Snowflake stage
[2026-03-19T09:29:34.493+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904009.json to Snowflake stage
[2026-03-19T09:29:34.698+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904019.json to Snowflake stage
